iter	Passed	Remaining
0	131	131807
1	132	66134
2	133	44240
3	133	33306
4	134	26755
5	135	22385
6	135	19247
7	136	16883
8	136	15051
9	137	13584
10	137	12393
11	138	11392
12	138	10550
13	139	9839
14	140	9220
15	141	8677
16	141	8198
17	142	7770
18	143	7396
19	144	7060
20	144	6753
21	145	6478
22	146	6217
23	146	5975
24	147	5751
25	148	5546
26	148	5355
27	149	5176
28	149	5008
29	150	4851
30	150	4704
31	150	4567
32	151	4438
33	151	4315
34	152	4200
35	152	4091
36	153	3988
37	153	3891
38	154	3798
39	154	3709
40	155	3626
41	155	3553
42	156	3480
43	156	3410
44	157	3345
45	158	3282
46	159	3228
47	159	3171
48	160	3114
49	161	3059
50	161	3007
51	162	2955
52	162	2905
53	163	2856
54	163	2809
55	163	2764
56	164	2720
57	164	2677
58	165	2636
59	165	2596
60	166	2558
61	166	2521
62	167	2484
63	167	2449
64	167	2415
65	168	2382
66	168	2349
67	169	2318
68	169	2288
69	170	2259
70	170	2230
71	170	2203
72	171	2176
73	171	2150
74	172	2128
75	173	2107
76	174	2086
77	174	2065
78	175	2044
79	176	2024
80	176	2003
81	177	1983
82	177	1960
83	178	1941
84	178	1923
85	179	1905
86	179	1887
87	180	1869
88	181	1852
89	181	1836
90	182	1819
91	182	1803
92	183	1788
93	183	1772
94	184	1757
95	185	1742
96	185	1728
97	186	1715
98	187	1702
99	187	1690
100	188	1678
101	189	1666
102	189	1653
103	190	1640
104	190	1626
105	191	1613
106	191	1600
107	192	1587
108	192	1574
109	193	1562
110	193	1549
111	193	1537
112	194	1525
113	194	1513
114	195	1502
115	195	1490
116	195	1478
117	196	1467
118	196	1457
119	197	1446
120	197	1436
121	198	1425
122	198	1415
123	198	1405
124	199	1395
125	199	1385
126	200	1375
127	200	1366
128	201	1357
129	201	1348
130	201	1339
131	202	1331
132	203	1323
133	203	1315
134	204	1308
135	204	1300
136	205	1293
137	205	1285
138	206	1278
139	206	1271
140	207	1264
141	207	1255
142	208	1247
143	208	1240
144	209	1232
145	209	1225
146	209	1218
147	210	1211
148	210	1204
149	211	1197
150	211	1190
151	212	1183
152	212	1176
153	212	1170
154	213	1163
155	213	1157
156	214	1150
157	214	1144
158	215	1137
159	215	1131
160	215	1124
161	216	1118
162	216	1112
163	217	1106
164	217	1102
165	218	1097
166	219	1093
167	220	1090
168	220	1086
169	221	1081
170	222	1077
171	223	1073
172	223	1069
173	224	1065
174	225	1060
175	225	1056
176	226	1051
177	226	1047
178	227	1042
179	227	1038
180	228	1034
181	229	1029
182	229	1025
183	230	1021
184	230	1017
185	231	1012
186	232	1008
187	232	1005
188	233	1002
189	234	999
190	235	995
191	235	992
192	236	989
193	237	985
194	237	981
195	238	978
196	239	974
197	239	970
198	240	966
199	240	963
200	241	959
201	241	955
202	242	952
203	243	948
204	243	945
205	244	942
206	245	939
207	245	935
208	246	932
209	247	929
210	247	926
211	248	924
212	249	921
213	250	918
214	250	916
215	251	912
216	251	909
217	252	905
218	253	902
219	253	898
220	253	895
221	254	891
222	254	887
223	255	884
224	255	880
225	256	877
226	256	873
227	257	870
228	257	867
229	257	863
230	258	860
231	258	856
232	259	853
233	259	850
234	260	847
235	260	843
236	261	840
237	261	837
238	261	834
239	262	830
240	262	827
241	263	825
242	264	822
243	264	820
244	265	817
245	265	815
246	266	812
247	267	809
248	267	806
249	267	803
250	268	800
251	268	797
252	269	794
253	269	791
254	270	788
255	270	786
256	270	783
257	271	780
258	271	777
259	272	774
260	272	771
261	273	769
262	273	766
263	273	763
264	274	761
265	274	758
266	275	755
267	275	753
268	276	750
269	276	747
270	277	745
271	277	742
272	277	740
273	278	737
274	279	735
275	279	733
276	280	731
277	280	728
278	281	726
279	281	723
280	281	721
281	282	719
282	282	716
283	283	714
284	283	711
285	284	709
286	284	707
287	285	704
288	285	702
289	285	700
290	286	697
291	286	695
292	287	693
293	287	690
294	288	688
295	288	686
296	289	684
297	289	681
298	289	679
299	290	677
300	290	675
301	291	673
302	291	670
303	292	668
304	292	666
305	293	664
306	293	662
307	294	660
308	294	658
309	295	657
310	295	655
311	296	653
312	296	651
313	297	649
314	297	646
315	297	644
316	298	642
317	298	640
318	299	638
319	299	636
320	300	634
321	300	633
322	301	631
323	301	629
324	301	627
325	302	625
326	302	623
327	303	621
328	303	619
329	304	617
330	304	615
331	304	613
332	305	611
333	305	609
334	306	607
335	306	606
336	307	604
337	307	602
338	308	600
339	308	598
340	309	597
341	310	596
342	310	594
343	311	593
344	311	591
345	311	589
346	312	587
347	312	586
348	313	584
349	313	582
350	314	580
351	314	579
352	315	577
353	315	575
354	315	573
355	316	572
356	316	570
357	317	568
358	317	567
359	318	565
360	318	563
361	318	562
362	319	560
363	319	558
364	320	557
365	320	555
366	321	553
367	321	552
368	322	550
369	322	549
370	323	547
371	323	546
372	324	544
373	324	543
374	325	541
375	325	540
376	326	539
377	326	537
378	327	536
379	327	535
380	328	533
381	328	532
382	329	530
383	329	529
384	330	527
385	330	526
386	331	524
387	331	523
388	332	521
389	332	520
390	333	518
391	333	517
392	333	515
393	334	514
394	334	512
395	335	511
396	335	509
397	336	508
398	336	506
399	337	505
400	337	504
401	337	502
402	338	501
403	338	499
404	339	498
405	339	497
406	340	496
407	341	494
408	341	493
409	341	492
410	342	490
411	342	489
412	343	487
413	343	486
414	344	485
415	344	483
416	345	482
417	345	481
418	345	479
419	346	478
420	346	476
421	347	475
422	347	474
423	348	472
424	348	471
425	349	470
426	349	469
427	349	467
428	350	466
429	350	465
430	351	463
431	351	462
432	352	461
433	352	460
434	353	458
435	353	457
436	354	456
437	354	455
438	355	453
439	355	452
440	356	451
441	356	450
442	357	448
443	357	447
444	357	446
445	358	445
446	358	443
447	359	442
448	359	441
449	360	440
450	360	439
451	361	437
452	361	436
453	361	435
454	362	434
455	362	432
456	363	431
457	363	430
458	364	429
459	364	428
460	365	427
461	365	425
462	366	424
463	366	423
464	367	422
465	367	421
466	367	419
467	368	418
468	368	417
469	369	416
470	369	415
471	370	414
472	371	413
473	371	412
474	371	411
475	372	410
476	373	408
477	373	407
478	373	406
479	374	405
480	374	404
481	375	403
482	375	402
483	376	401
484	376	400
485	377	399
486	377	398
487	378	397
488	378	396
489	379	394
490	379	393
491	380	392
492	381	391
493	381	390
494	381	389
495	382	388
496	382	387
497	383	386
498	384	385
499	384	384
500	385	383
501	385	382
502	386	381
503	386	380
504	387	379
505	387	378
506	388	377
507	388	376
508	389	375
509	389	374
510	390	373
511	390	372
512	391	371
513	391	370
514	392	369
515	392	368
516	392	367
517	393	366
518	393	365
519	394	363
520	394	362
521	395	361
522	395	360
523	396	359
524	396	358
525	397	357
526	397	356
527	397	355
528	398	354
529	398	353
530	399	352
531	399	351
532	400	350
533	400	349
534	401	348
535	401	347
536	402	346
537	402	345
538	403	344
539	403	343
540	403	342
541	404	341
542	404	340
543	405	340
544	406	339
545	407	338
546	407	337
547	408	336
548	409	336
549	409	335
550	410	334
551	411	333
552	411	332
553	412	331
554	412	331
555	413	330
556	414	329
557	414	328
558	415	327
559	416	326
560	416	326
561	417	325
562	417	324
563	418	323
564	418	322
565	419	321
566	419	320
567	420	319
568	420	318
569	421	317
570	421	317
